year,total_energy,area,month
2011,5919768,tohoku,07
2011,22926372,tokyo,07
2011,11100834,chubu,07
2011,2450919,hokuriku,07
2011,12855953,kansai,07
2011,5072712,chugoku,07
2011,2480490,shikoku,07
2011,7191441,kyushu,07
2011,742122,okinawa,07
2011,2276517,hokkaido,06
2011,5519705,tohoku,06
2011,19606036,tokyo,06
2011,9626432,chubu,06
2011,2229958,hokuriku,06
2011,11015648,kansai,06
2011,4599533,chugoku,06
2011,2174481,shikoku,06
2011,6509076,kyushu,06
2011,617351,okinawa,06
2011,2507133,hokkaido,05
2011,5544206,tohoku,05
2011,19629459,tokyo,05
2011,9356884,chubu,05
2011,2195881,hokuriku,05
2011,11230984,kansai,05
2011,4607061,chugoku,05
2011,2199679,shikoku,05
2011,6544452,kyushu,05
2011,549737,okinawa,05
2011,2702670,hokkaido,04
2011,5568529,tohoku,04
2011,20956972,tokyo,04
2011,10387371,chubu,04
2011,2380496,hokuriku,04
2011,12313311,kansai,04
2011,5139772,chugoku,04
2011,2347984,shikoku,04
2011,7019921,kyushu,04
2011,535172,okinawa,04
2011,2917485,hokkaido,03
2011,6226494,tohoku,03
2011,22321046,tokyo,03
2011,10643949,chubu,03
2011,2633344,hokuriku,03
2011,12317043,kansai,03
2011,5190770,chugoku,03
2011,2435062,shikoku,03
2011,7055895,kyushu,03
2011,502793,okinawa,03
2011,3024851,hokkaido,02
2011,7571270,tohoku,02
2011,25961476,tokyo,02
2011,11470658,chubu,02
2011,2674962,hokuriku,02
2011,13024445,kansai,02
2011,5611020,chugoku,02
2011,2495342,shikoku,02
2011,7885450,kyushu,02
2011,536536,okinawa,02
2011,3310185,hokkaido,01
2011,7942759,tohoku,01
2011,26382945,tokyo,01
2011,11891333,chubu,01
2011,2838540,hokuriku,01
2011,14015115,kansai,01
2011,5808568,chugoku,01
2011,2771350,shikoku,01
2011,8288558,kyushu,01
2011,600452,okinawa,01
2010,2680571,hokkaido,12
2010,6989739,tohoku,12
2010,22914124,tokyo,12
2010,10320916,chubu,12
2010,2476619,hokuriku,12
2010,11742536,kansai,12
2010,5038490,chugoku,12
2010,2322269,shikoku,12
2010,6843362,kyushu,12
2010,539882,okinawa,12
2010,2552180,hokkaido,11
2010,6467249,tohoku,11
2010,22203969,tokyo,11
2010,9955766,chubu,11
2010,2283036,hokuriku,11
2010,11135264,kansai,11
2010,4701295,chugoku,11
2010,2130639,shikoku,11
2010,6468831,kyushu,11
2010,616857,okinawa,11
2010,2461570,hokkaido,10
2010,6412602,tohoku,10
2010,22943386,tokyo,10
2010,10537992,chubu,10
2010,2193561,hokuriku,10
2010,12013989,kansai,10
2010,4895489,chugoku,10
2010,2259746,shikoku,10
2010,6997305,kyushu,10
2010,717262,okinawa,10
2010,2627055,hokkaido,09
2010,7216667,tohoku,09
2010,28684798,tokyo,09
2010,12420161,chubu,09
2010,2533601,hokuriku,09
2010,14536201,kansai,09
2010,5821563,chugoku,09
2010,2660771,shikoku,09
2010,8452231,kyushu,09
2010,769899,okinawa,09
2010,2582477,hokkaido,08
2010,7417055,tohoku,08
2010,27770747,tokyo,08
2010,12104342,chubu,08
2010,2650553,hokuriku,08
2010,14690907,kansai,08
2010,5695434,chugoku,08
2010,2769121,shikoku,08
2010,8448386,kyushu,08
2010,799010,okinawa,08
2010,2450796,hokkaido,07
2010,6611020,tohoku,07
2010,25759103,tokyo,07
2010,11275971,chubu,07
2010,2469397,hokuriku,07
2010,12930617,kansai,07
2010,5135673,chugoku,07
2010,2518617,shikoku,07
2010,7052048,kyushu,07
2010,725411,okinawa,07
2010,2268798,hokkaido,06
2010,6345915,tohoku,06
2010,21872690,tokyo,06
2010,9871309,chubu,06
2010,2232949,hokuriku,06
2010,11141125,kansai,06
2010,4674672,chugoku,06
2010,2174854,shikoku,06
2010,6414700,kyushu,06
2010,603147,okinawa,06
2010,2646582,hokkaido,05
2010,6517913,tohoku,05
2010,22271753,tokyo,05
2010,9792171,chubu,05
2010,2198318,hokuriku,05
2010,11381261,kansai,05
2010,4715956,chugoku,05
2010,2209655,shikoku,05
2010,6574572,kyushu,05
2010,558630,okinawa,05
2010,2779860,hokkaido,04
2010,6987071,tohoku,04
2010,24300628,tokyo,04
2010,10626825,chubu,04
2010,2358424,hokuriku,04
2010,12149266,kansai,04
2010,5106211,chugoku,04
2010,2352932,shikoku,04
2010,6992445,kyushu,04
2010,551356,okinawa,04
2010,2931304,hokkaido,03
2010,7236725,tohoku,03
2010,23730733,tokyo,03
2010,10522893,chubu,03
2010,2503474,hokuriku,03
2010,11792304,kansai,03
2010,5005472,chugoku,03
2010,2322271,shikoku,03
2010,6739681,kyushu,03
2010,512586,okinawa,03
2010,2981083,hokkaido,02
2010,7258534,tohoku,02
2010,25215393,tokyo,02
2010,11013586,chubu,02
2010,2521983,hokuriku,02
2010,12361041,kansai,02
2010,5266028,chugoku,02
2010,2371167,shikoku,02
2010,7217946,kyushu,02
2010,519190,okinawa,02
2010,3261626,hokkaido,01
2010,7725162,tohoku,01
2010,25986854,tokyo,01
2010,11560339,chubu,01
2010,2686284,hokuriku,01
2010,13502606,kansai,01
2010,5579634,chugoku,01
2010,2618124,shikoku,01
2010,7928918,kyushu,01
2010,581639,okinawa,01
2009,2622708,hokkaido,12
2009,6795644,tohoku,12
2009,23082426,tokyo,12
2009,9959526,chubu,12
2009,2358760,hokuriku,12
2009,11313166,kansai,12
2009,4909796,chugoku,12
2009,2258349,shikoku,12
2009,6639999,kyushu,12
2009,541718,okinawa,12
2009,2598029,hokkaido,11
2009,6247856,tohoku,11
2009,21874408,tokyo,11
2009,9764404,chubu,11
2009,2139219,hokuriku,11
2009,10985711,kansai,11
2009,4569592,chugoku,11
2009,2097291,shikoku,11
2009,6398423,kyushu,11
2009,617953,okinawa,11
2009,2409139,hokkaido,10
2009,6239138,tohoku,10
2009,21983224,tokyo,10
2009,9866260,chubu,10
2009,2099675,hokuriku,10
2009,11260014,kansai,10
2009,4654014,chugoku,10
2009,2197813,shikoku,10
2009,6727439,kyushu,10
2009,704176,okinawa,10
2009,2477193,hokkaido,09
2009,6238003,tohoku,09
2009,24034469,tokyo,09
2009,10695751,chubu,09
2009,2179980,hokuriku,09
2009,12344920,kansai,09
2009,5015638,chugoku,09
2009,2354984,shikoku,09
2009,7636653,kyushu,09
2009,789551,okinawa,09
2009,2485623,hokkaido,08
2009,6569055,tohoku,08
2009,25461558,tokyo,08
2009,11049196,chubu,08
2009,2266026,hokuriku,08
2009,13443029,kansai,08
2009,5232559,chugoku,08
2009,2527662,shikoku,08
2009,7924095,kyushu,08
2009,835312,okinawa,08
2009,2343910,hokkaido,07
2009,6166266,tohoku,07
2009,23931857,tokyo,07
2009,10371087,chubu,07
2009,2245468,hokuriku,07
2009,12172062,kansai,07
2009,4786620,chugoku,07
2009,2395553,shikoku,07
2009,7166916,kyushu,07
2009,715259,okinawa,07
2009,2201531,hokkaido,06
2009,5971706,tohoku,06
2009,21169534,tokyo,06
2009,9263337,chubu,06
2009,2060103,hokuriku,06
2009,10557487,kansai,06
2009,4209513,chugoku,06
2009,2097265,shikoku,06
2009,6237812,kyushu,06
2009,593308,okinawa,06
2009,2496339,hokkaido,05
