nuclear,total,area_id,year,month
820145,2549210,8,2011,6
1939349,7476698,9,2011,6
0,813465,10,2011,6
1140099,2813999,1,2011,7
0,6738562,2,2011,7
3668598,25817200,3,2011,7
0,12503474,4,2011,7
0,2775937,5,2011,7
4092010,14524672,6,2011,7
606839,5798058,7,2011,7
843552,2826520,8,2011,7
1995936,8572302,9,2011,7
0,878535,10,2011,7
1043722,2864429,1,2011,8
0,6824211,2,2011,8
2610190,25824288,3,2011,8
0,12559803,4,2011,8
0,2754054,5,2011,8
2551035,14960320,6,2011,8
601912,5952212,7,2011,8
841013,2952427,8,2011,8
1984484,8715196,9,2011,8
0,850789,10,2011,8
674919,2744561,1,2011,9
0,6437924,2,2011,9
1796630,24109741,3,2011,9
0,11688358,4,2011,9
0,2556420,5,2011,9
2487590,13072196,6,2011,9
587164,5291211,7,2011,9
444664,2542429,8,2011,9
1270483,7707083,9,2011,9
0,801155,10,2011,9
701686,2793390,1,2011,10
0,6345887,2,2011,10
1869220,21910267,3,2011,10
0,10735563,4,2011,10
0,2400541,5,2011,10
2592381,11931178,6,2011,10
608268,4996626,7,2011,10
420089,2378231,8,2011,10
533172,7044834,9,2011,10
0,718233,10,2011,10
680134,2944254,1,2011,11
0,6666757,2,2011,11
1810928,22254681,3,2011,11
0,10782270,4,2011,11
0,2486313,5,2011,11
2403932,11937889,6,2011,11
589460,5008940,7,2011,11
407864,2386542,8,2011,11
1200091,6963564,9,2011,11
0,654033,10,2011,11
703136,3581662,1,2011,12
0,7825355,2,2011,12
1874878,26376848,3,2011,12
0,12153074,4,2011,12
0,2887777,5,2011,12
1218477,13650697,6,2011,12
612002,5807401,7,2011,12
426070,2733799,8,2011,12
715123,8044950,9,2011,12
0,625793,10,2011,12
702990,3666840,1,2012,1
0,8279941,2,2012,1
1661072,27927174,3,2012,1
0,12606480,4,2012,1
0,3023248,5,2012,1
690461,14168799,6,2012,1
511699,5999590,7,2012,1
177949,2885429,8,2012,1
0,8353975,9,2012,1
0,629654,10,2012,1
657743,3501043,1,2012,2
0,7971082,2,2012,2
975988,26542236,3,2012,2
0,12475364.51,4,2012,2
0,2949609,5,2012,2
441491,13846538,6,2012,2
0,5875234,7,2012,2
0,2782056,8,2012,2
0,8050869,9,2012,2
0,592548,10,2012,2
703095,3343470,1,2012,3
0,7730388,2,2012,3
829656,25901778,3,2012,3
0,12177737,4,2012,3
0,2810650,5,2012,3
0,13416164,6,2012,3
0,5675211,7,2012,3
0,2666399,8,2012,3
0,7691554,9,2012,3
0,610928,10,2012,3
679692,2862604,1,2012,4
0,6778415,2,2012,4
0,21937926,3,2012,4
0,10684142,4,2012,4
0,2400636,5,2012,4
0,11791206,6,2012,4
0,4926312,7,2012,4
0,2342508,8,2012,4
0,6795532,9,2012,4
0,606396,10,2012,4
104706,2641812,1,2012,5
0,6268642,2,2012,5
0,21554881,3,2012,5
0,10330357,4,2012,5
0,2246826,5,2012,5
0,11538466,6,2012,5
0,4826271,7,2012,5
0,2282737,8,2012,5
0,6841219,9,2012,5
0,692311,10,2012,5
0,2507683,1,2012,6
0,6213649,2,2012,6
0,21796892,3,2012,6
0,10737803,4,2012,6
0,2293668,5,2012,6
0,11845585,6,2012,6
0,4909803,7,2012,6
0,2344521,8,2012,6
0,7116186,9,2012,6
0,775870,10,2012,6
0,2642576,1,2012,7
0,6891861,2,2012,7
0,25693116,3,2012,7
0,12397843,4,2012,7
0,2656023,5,2012,7
1004998,13934279,6,2012,7
0,5726405,7,2012,7
0,2708513,8,2012,7
0,8363342,9,2012,7
0,897134,10,2012,7
0,2704757,1,2012,8
0,7394133,2,2012,8
0,27588265,3,2012,8
0,12613556,4,2012,8
0,2784440,5,2012,8
1767548,14595307,6,2012,8
0,5985974,7,2012,8
0,2825821,8,2012,8
0,8666838,9,2012,8
0,857341,10,2012,8
0,2656367,1,2012,9
0,6776083,2,2012,9
0,24630174,3,2012,9
0,11585730,4,2012,9
0,2501090,5,2012,9
1714977,12789476,6,2012,9
0,5215769,7,2012,9
0,2447201,8,2012,9
0,7372778,9,2012,9
0,767883,10,2012,9
0,2661938,1,2012,10
0,6392059,2,2012,10
